iter	Passed	Remaining
146	3719	8932
147	3742	8901
148	3765	8870
149	3788	8840
150	3812	8811
151	3835	8781
152	3858	8751
153	3881	8721
154	3905	8693
155	3928	8663
156	3952	8635
157	3979	8613
158	4005	8591
159	4032	8569
160	4058	8545
161	4080	8514
162	4103	8484
163	4127	8456
164	4151	8429
165	4174	8399
166	4200	8376
167	4226	8353
168	4253	8329
169	4275	8299
170	4297	8268
171	4321	8240
172	4345	8214
173	4371	8191
174	4397	8167
175	4423	8143
176	4448	8118
177	4477	8099
178	4504	8077
179	4529	8052
180	4553	8024
181	4576	7996
182	4599	7967
183	4622	7938
184	4645	7910
185	4668	7880
186	4691	7852
187	4714	7824
188	4762	7835
189	4798	7829
190	4825	7807
191	4848	7778
192	4872	7750
193	4897	7724
194	4923	7700
195	4950	7678
196	4975	7653
197	5002	7629
198	5028	7606
199	5052	7578
200	5074	7548
201	5097	7519
202	5119	7490
203	5144	7463
204	5169	7439
205	5193	7412
206	5216	7383
207	5239	7354
208	5261	7326
209	5284	7298
210	5308	7270
211	5332	7243
212	5355	7215
213	5378	7188
214	5402	7160
215	5428	7138
216	5455	7114
217	5481	7090
218	5507	7066
219	5530	7039
220	5558	7016
221	5585	6994
222	5611	6969
223	5636	6945
224	5662	6921
225	5688	6896
226	5714	6872
227	5739	6847
228	5767	6825
229	5792	6799
230	5816	6773
231	5841	6748
232	5868	6724
233	5893	6699
234	5918	6674
235	5941	6646
236	5964	6618
237	5989	6593
238	6015	6568
239	6041	6544
240	6068	6521
241	6095	6498
242	6122	6474
243	6148	6450
244	6172	6424
245	6198	6399
246	6223	6375
247	6247	6348
248	6269	6320
249	6292	6292
250	6317	6266
251	6340	6239
252	6362	6211
253	6385	6184
254	6408	6157
255	6432	6130
256	6456	6104
257	6480	6079
258	6505	6053
259	6528	6026
260	6552	6000
261	6576	5973
262	6599	5947
263	6623	5920
264	6646	5894
265	6669	5866
266	6692	5840
267	6721	5819
268	6744	5792
269	6768	5765
270	6805	5750
271	6833	5727
272	6859	5703
273	6885	5678
274	6908	5652
275	6931	5625
276	6954	5598
277	6977	5571
278	7000	5544
279	7023	5518
280	7050	5495
281	7077	5470
282	7102	5445
283	7129	5422
284	7156	5399
285	7182	5374
286	7208	5349
287	7234	5325
288	7261	5301
289	7288	5277
290	7314	5253
291	7338	5227
292	7362	5201
293	7388	5176
294	7415	5152
295	7441	5128
296	7465	5102
297	7490	5077
298	7514	5051
299	7541	5027
300	7565	5002
301	7591	4976
302	7616	4952
303	7642	4927
304	7667	4902
305	7694	4878
306	7722	4854
307	7748	4830
308	7775	4806
309	7804	4783
310	7829	4758
311	7852	4731
312	7875	4705
313	7898	4678
314	7920	4651
315	7944	4625
316	7967	4599
317	7990	4573
318	8014	4547
319	8036	4520
320	8061	4495
321	8084	4468
322	8107	4442
323	8130	4416
324	8153	4390
325	8177	4364
326	8200	4338
327	8223	4312
328	8246	4286
329	8271	4260
330	8293	4234
331	8316	4208
332	8339	4182
333	8362	4156
334	8387	4131
335	8411	4105
336	8436	4080
337	8465	4057
338	8492	4033
339	8520	4009
340	8545	3984
341	8571	3959
342	8594	3934
343	8618	3908
344	8641	3882
345	8664	3856
346	8691	3832
347	8717	3807
348	8743	3783
349	8767	3757
350	8796	3734
351	8823	3709
352	8851	3685
353	8879	3662
354	8905	3637
355	8928	3611
356	8954	3587
357	8980	3562
358	9006	3537
359	9033	3512
360	9058	3488
361	9085	3463
362	9110	3438
363	9136	3413
364	9162	3388
365	9188	3363
366	9213	3339
367	9240	3314
368	9262	3288
369	9286	3262
370	9313	3238
371	9337	3212
372	9360	3187
373	9388	3162
374	9414	3138
375	9442	3113
376	9468	3089
377	9498	3065
378	9524	3040
379	9551	3016
380	9576	2991
381	9602	2966
382	9639	2944
383	9665	2919
384	9690	2894
385	9713	2868
386	9736	2842
387	9759	2817
388	9783	2791
389	9805	2765
390	9827	2739
391	9850	2714
392	9873	2688
393	9896	2662
394	9925	2638
395	9950	2613
396	9977	2588
397	9999	2562
398	10025	2537
399	10052	2513
400	10078	2488
401	10104	2463
402	10141	2441
